ax ay az gx gy gz
540 660 -16968 -556 267 70
624 772 -16968 -589 252 71
644 788 -16888 -577 250 42
472 736 -16944 -572 239 33
568 724 -17008 -571 261 21
496 740 -16876 -608 279 37
576 704 -16956 -595 237 -5
600 716 -16876 -607 230 36
584 604 -16864 -593 220 13
508 680 -16816 -584 229 41
488 624 -16880 -591 248 71
564 600 -16984 -611 249 79
556 668 -16980 -599 240 97
516 684 -17028 -549 246 94
532 692 -16860 -611 226 132
496 680 -16916 -604 249 153
572 704 -17004 -578 251 140
516 704 -17008 -566 279 108
560 716 -16960 -572 245 103
484 688 -16964 -584 275 124
492 732 -17072 -606 228 77
536 692 -16936 -529 261 58
548 712 -16848 -626 278 78
488 716 -16976 -585 245 77
480 704 -16936 -599 273 74
596 688 -16880 -633 252 18
568 680 -16960 -553 263 50
552 724 -16956 -588 261 74
620 680 -16944 -540 231 71
588 700 -16980 -582 248 85
552 648 -16976 -533 250 73
560 692 -16920 -570 252 92
532 744 -16924 -574 223 88
496 684 -16900 -537 233 103
520 728 -16936 -616 251 129
464 660 -16956 -571 239 102
476 744 -16896 -586 251 81
480 756 -16912 -593 239 93
500 764 -16968 -594 240 111
472 712 -16992 -559 250 45
528 716 -16876 -546 269 81
572 696 -16920 -600 243 57
528 660 -17028 -560 287 43
476 700 -16980 -634 251 59
616 720 -17000 -625 231 54
540 672 -16968 -601 234 46
540 604 -16852 -568 258 69
524 684 -16864 -610 277 101
572 724 -17064 -577 242 99
512 624 -17028 -559 238 122
484 664 -16916 -578 256 113
552 760 -16888 -549 250 87
572 672 -16908 -549 262 67
556 700 -16972 -606 257 122
568 740 -16852 -622 251 80
524 768 -16924 -625 265 91
580 716 -16852 -607 247 73
576 668 -16880 -563 239 42
596 788 -17040 -557 249 44
552 680 -17028 -583 270 63
528 644 -16988 -593 254 53
456 648 -16888 -596 257 54
572 672 -16844 -564 272 51
496 704 -17016 -579 230 79
536 676 -16996 -584 220 91
488 708 -16932 -574 266 80
556 704 -16936 -598 242 102
552 680 -17016 -556 257 57
532 732 -16880 -602 272 96
576 760 -17036 -606 239 93
600 680 -17064 -574 264 88
540 672 -16872 -568 239 90
516 740 -16912 -571 240 23
520 668 -17028 -603 284 67
540 696 -16832 -557 236 101
528 668 -16856 -594 243 41
536 700 -16964 -609 248 47
560 648 -16888 -604 250 86
576 660 -17032 -598 268 81
528 644 -17004 -595 263 102
540 612 -16912 -599 240 82
548 684 -16980 -584 230 66
576 664 -16936 -590 240 137
532 632 -17016 -581 236 94
524 692 -16848 -596 238 77
576 776 -16944 -577 256 82
472 704 -16884 -613 257 57
492 648 -17044 -593 266 78
516 720 -16964 -616 246 81
456 636 -16940 -575 291 82
504 724 -16988 -563 223 70
588 720 -16904 -575 257 84
564 704 -16916 -597 268 55
580 720 -16900 -594 223 101
548 624 -17008 -587 255 84
584 680 -16968 -593 221 74
528 660 -17032 -595 218 97
480 660 -16996 -561 270 74
504 672 -17032 -586 255 133
508 644 -16832 -590 277 96
528 696 -16920 -592 233 71
472 740 -17012 -578 282 43
572 688 -16932 -585 250 58
564 728 -17008 -602 262 96
516 632 -17000 -545 260 71
492 692 -16880 -558 241 56
524 756 -16808 -554 235 65
520 680 -17036 -560 222 74
540 664 -17012 -572 261 57
576 720 -16900 -602 260 74
636 704 -16936 -596 285 85
588 716 -16856 -582 243 109
568 696 -17028 -583 250 105
552 712 -16976 -565 239 60
588 680 -16972 -558 263 60
532 740 -16980 -608 256 110
516 712 -17016 -577 230 78
580 764 -17016 -591 294 64
548 772 -16904 -560 230 55
576 696 -16896 -547 268 79
560 692 -16832 -547 218 91
556 696 -16876 -562 214 95
540 748 -17032 -558 262 81
540 712 -16908 -563 269 60
508 648 -17012 -606 250 121
532 768 -16948 -573 256 61
552 672 -16964 -592 248 52
520 700 -16952 -579 248 89
616 740 -16896 -599 247 103
556 660 -16984 -567 243 70
624 768 -17000 -563 268 120
568 708 -16932 -585 253 78
580 712 -17008 -561 260 85
520 660 -16880 -576 243 108
576 756 -16984 -567 227 127
508 724 -16876 -580 242 97
472 684 -16976 -628 266 101
524 644 -16956 -569 248 52
520 724 -16904 -589 289 59
460 652 -16984 -568 236 60
564 752 -16924 -558 236 104
536 728 -16864 -591 257 72
532 736 -16984 -583 248 69
544 652 -16968 -577 263 67
524 692 -16872 -534 231 78
604 664 -16924 -582 274 129
600 708 -16960 -565 236 79
508 712 -17028 -559 243 84
552 676 -16984 -553 250 45
576 704 -16928 -583 236 51
592 740 -16864 -566 279 64
532 720 -16904 -580 259 94
500 672 -17040 -556 265 76
576 724 -17012 -578 269 64
572 688 -16912 -557 242 103
536 588 -16928 -581 259 59
512 688 -16876 -567 259 45
532 664 -16996 -543 242 46
496 720 -16824 -576 278 98
516 656 -16880 -592 252 88
536 704 -16972 -589 240 77
452 664 -16936 -576 259 68
520 704 -16892 -607 247 122
536 764 -16916 -557 228 80
592 796 -16936 -557 269 38
532 688 -16972 -591 267 72
572 680 -17048 -543 250 81
532 696 -16944 -561 274 66
624 684 -17032 -575 262 59
528 752 -17024 -584 249 93
516 732 -16968 -557 201 72
564 692 -16968 -596 250 87
556 672 -16956 -615 270 93
536 688 -16892 -569 256 85
572 700 -16892 -561 224 82
492 648 -16912 -578 252 71
536 648 -16968 -582 237 64
556 724 -17016 -578 233 110
536 680 -16916 -633 258 90
552 676 -16904 -567 257 47
480 720 -16992 -602 216 104
588 652 -16908 -589 269 92
532 712 -16948 -571 267 75
568 688 -16964 -584 269 64
504 688 -16912 -564 238 80
552 700 -16984 -566 253 80
624 736 -16968 -586 246 59
528 712 -16908 -609 246 78
536 700 -16928 -564 276 53
504 744 -16924 -552 244 83
608 684 -16952 -548 242 53
564 712 -16960 -576 233 71
540 720 -16904 -549 268 65
576 696 -16972 -588 270 45
556 680 -16892 -644 231 95
516 728 -16952 -557 256 71
480 712 -16952 -552 251 116
540 732 -16972 -595 258 122
544 668 -16892 -561 250 63
552 724 -16964 -570 273 84
536 664 -16932 -575 243 66
552 732 -17020 -578 219 81
592 672 -16832 -575 248 47
552 704 -16856 -599 259 93
568 716 -16916 -573 237 64
544 716 -16872 -539 269 82
524 616 -16832 -569 246 66
544 668 -16968 -557 257 67
552 708 -16828 -603 261 75
580 692 -17024 -574 247 57
564 656 -17092 -591 282 94
492 676 -16912 -567 237 73
528 692 -17032 -613 264 128
492 728 -16948 -593 258 95
608 704 -17032 -558 284 115
552 756 -16956 -585 263 81
532 752 -16844 -575 258 45
584 688 -17032 -546 249 98
544 744 -16948 -564 261 97
524 680 -17004 -612 249 95
548 720 -17000 -556 265 54
580 736 -16956 -585 232 99
512 668 -17016 -613 229 72
472 644 -16988 -584 232 72
508 684 -16848 -631 275 65
588 608 -17060 -567 236 50
560 616 -16980 -573 241 95
472 692 -16992 -614 268 67
576 648 -16920 -583 232 96
508 636 -16872 -589 252 76
528 692 -16924 -599 240 79
508 712 -16852 -572 247 86
